pais,festividad,mes
Estados Unidos de América,San Valentín,2
Estados Unidos de América,Día de la Madre,5
Estados Unidos de América,Día del Padre,6
Estados Unidos de América,Navidad,12
Kazajstán,Navruz,3
Países Bajos,San Valentín,2
Países Bajos,Día de la Madre,5
Países Bajos,Navidad,12
Italia,San Valentín,2
Italia,Día de la Madre,5
Italia,Navidad,12
Canadá,San Valentín,2
Canadá,Día de la Madre,5
Canadá,Día del Padre,6
Canadá,Navidad,12
España,San Valentín,2
España,Día de la Madre,5
España,Todos los Santos,11
España,Navidad,12
Chile,San Valentín (Día de los Enamorados),2
Chile,Día de la Madre,5
Chile,Navidad,12
Polonia,San Valentín,2
Polonia,Día de la Madre,5
Polonia,Todos los Santos,11
Polonia,Navidad,12
Qatar,San Valentín,2
Qatar,Día Nacional,12
Türkiye,San Valentín,2
Türkiye,Día de la Madre,5
Türkiye,Navidad Ortodoxa,1
Colombia,San Valentín y Día del Amor,2
Colombia,Día de la Madre,5
Colombia,Navidad,12
Emiratos Árabes Unidos,San Valentín,2
Emiratos Árabes Unidos,Día Nacional (2‑Dic),12
Kirguistán,Navruz,3
Ucrania,San Valentín,2
Ucrania,Día de la Madre,5
Ucrania,Navidad Ortodoxa,1
Australia,San Valentín,2
Australia,Día de la Madre,5
Australia,Navidad,12
Rumania,San Valentín,2
Rumania,Día de la Madre,5
Rumania,Navidad,12
República Checa,San Valentín,2
República Checa,Día de la Madre,5
República Checa,Todos los Santos,11
República Checa,Navidad,12
República Dominicana,San Valentín,2
República Dominicana,Día de la Madre,5
República Dominicana,Navidad,12
Reino Unido,San Valentín,2
Reino Unido,Mothering Sunday,3
Reino Unido,Navidad,12
Japón,San Valentín,2
Japón,White Day,3
Japón,Día de la Madre,5
Japón,Respeto a los Ancianos,9
Alemania,San Valentín,2
Alemania,Día de la Madre,5
Alemania,Todos los Santos,11
Alemania,Navidad,12
Francia,San Valentín,2
Francia,Día de la Madre,5
Francia,Todos los Santos,11
Francia,Navidad,12
Portugal,San Valentín,2
Portugal,Día de la Madre,5
Portugal,Navidad,12
Suiza,San Valentín,2
Suiza,Día de la Madre,5
Suiza,Navidad,12
Kuwait,San Valentín,2
Kuwait,Día Nacional,2
Croacia,San Valentín,2
Croacia,Día de la Madre,5
Croacia,Navidad,12
Nicaragua,San Valentín,2
Nicaragua,Día de la Madre,5
Nicaragua,Navidad,12
El Salvador,San Valentín,2
El Salvador,Día de la Madre,5
El Salvador,Navidad,12
Rusia,San Valentín,2
Rusia,Día Internacional de la Mujer,3
Rusia,Día de la Madre,6
Rusia,Navidad Ortodoxa,1
Georgia,San Valentín,2
Georgia,Día de la Madre,3
Georgia,Navidad Ortodoxa,1
Uruguay,San Valentín,2
Uruguay,Día de la Madre,5
Uruguay,Navidad,12
Azerbaiyán,Navruz,3
Arabia Saudita,San Valentín,2
Arabia Saudita,Día Nacional,9
Tayikistán,Navruz,3
Indonesia,San Valentín,2
Indonesia,Día de la Madre,12
Lituania,Navidad,12
China,San Valentín chino (Qixi),8
China,Año Nuevo Chino,1
Taipei Chino,San Valentín chino,8
Taipei Chino,Año Nuevo Chino,1
Paraguay,San Valentín,2
Paraguay,Día de la Madre,5
Paraguay,Navidad,12
Filipinas,San Valentín,2
Filipinas,Día de la Madre,5
Filipinas,Navidad,12
Moldova,Navidad Ortodoxa,1
Moldova,San Valentín,2
Moldova,Día de la Madre,5
Panamá,San Valentín,2
Panamá,Día de la Madre,5
Panamá,Navidad,12
Armenia,San Valentín,2
Armenia,Navruz,3
Armenia,Día de la Madre,4
Trinidad y Tobago,San Valentín,2
Trinidad y Tobago,Día de la Madre,5
Trinidad y Tobago,Navidad,12
Brasil,San Valentín (Dia dos Namorados),6
Brasil,Día de la Madre,5
Brasil,Navidad,12
Perú,San Valentín,2
Perú,Día de la Madre,5
Perú,Navidad,12
Finlandia,San Valentín,2
Finlandia,Día de la Madre,5
Finlandia,Navidad,12
Uzbekistán,Navruz,3
Bulgaria,Baba Marta,3
Hong Kong,San Valentín,2
Hong Kong,Día de la Madre,5
Hong Kong,Navidad,12
